Ambulance_ID,Driver_Name,Driver_Status,Shift_Start,Shift_End,Shift_Duration_Hours,Next_Rotation_Time,Assigned_Case_ID,Ambulance_Status,OxygenTank,FirstAidKit,MedicineUnits,Last_Service_Date,Location
AMB001,John Lim,On Duty,2025-11-03 08:00,2025-11-03 16:00,8,2025-11-03 16:00,CASE-3101,On Duty,2,1,5,2025-09-20,City Center
AMB002,Amira Tan,Available,2025-11-03 16:00,2025-11-03 21:00,5,2025-11-03 21:00,-,Available,1,1,3,2025-10-12,Hospital HQ
AMB003,Raj Kumar,Unavailable,2025-11-03 09:00,2025-11-03 17:00,8,2025-11-03 17:00,-,Unavailable,0,1,2,2025-08-19,Maintenance Bay
AMB004,Lisa Wong,Available,2025-11-03 21:00,2025-11-04 05:00,8,2025-11-04 05:00,-,Available,2,1,4,2025-09-15,Hospital HQ
AMB005,Farid Nair,On Duty,2025-11-03 05:00,2025-11-03 13:00,8,2025-11-03 13:00,CASE-3098,On Duty,1,1,4,2025-09-10,Subang Jaya
AMB006,Sophia Chan,Available,2025-11-03 13:00,2025-11-03 21:00,8,2025-11-03 21:00,-,Available,2,1,5,2025-09-22,Hospital HQ
AMB007,Henry Tan,On Duty,2025-11-03 00:00,2025-11-03 08:00,8,2025-11-03 08:00,CASE-3095,On Duty,1,1,2,2025-09-14,City Outpost
AMB008,Marina Koh,Available,2025-11-03 09:00,2025-11-03 17:00,8,2025-11-03 17:00,-,Available,3,1,5,2025-09-20,Hospital HQ
AMB009,Hafiz Salleh,Available,2025-11-03 17:00,2025-11-03 22:00,5,2025-11-03 22:00,-,Available,2,1,4,2025-09-28,Hospital HQ
AMB010,Natasha Lee,Available,2025-11-03 22:00,2025-11-04 06:00,8,2025-11-04 06:00,-,Available,2,1,5,2025-09-25,Hospital HQ
